"規制番号","座標","警察署名","交差点名称","制御種別","制御機形式","警交仕規","メーカー補足","製造会社名","製造番号","製造年月","道路別","設置場所"
"70129","34.482219,133.389409","福山東","南手城２丁目（西）","地域/直接","交通信号制御機(UD-RTR)","第1012号「版5」","","コイト電工株式会社","3M3968","2023年12月","市道","福山市南手城町2丁目14番18号先"
"70130","34.492692,133.412228","福山東","引野小学校入口","プロ多/親","交通信号制御機(ﾌﾟﾛ多)","第1012号","","コイト電工株式会社","4H1471","2024年8月","市道","福山市引野町4丁目20番20号先"
"70131","34.484554,133.330054","福山西","佐波町","地域/直接","交通信号制御機(S9-TCU)","第1012号","LTC-AR70","株式会社京三製作所","T27006","2018年9月","Ｒ２","福山市佐波町290番地1先"
"70132","34.484395,133.338525","福山西","小田川橋","地域/直接","交通信号制御機(S9-TCU)","第1012号","LTC-AR41","株式会社京三製作所","TV1836","2014年1月","Ｒ２","福山市神島町11番5号先"
"70133","34.493457,133.339559","福山西","山手橋西詰","プロ多/親","交通信号制御機(ﾌﾟﾛ多)","第1012号","","コイト電工株式会社","7A0348","2017年1月","市道","福山市山手町6丁目1番7号南東角先"
"70134","34.479376,133.371877","福山東","ばら公園（西）","地域/直接","交通信号制御機(UD-RTR)","第1012号「版5」","","日本信号株式会社","K0000003","2022年12月","県道２２号（福山鞆）","福山市花園町2丁目7番1号先"
"70135","34.486181,133.361383","福山東","東桜町（東）","プロ多/親","交通信号制御機(ﾌﾟﾛ多)","第1012号","S3：TSC-3011","住友電工ｼｽﾃﾑｿﾘｭｰｼｮﾝ株式会社","130339","2013年9月","市道","福山市東桜町3番8号先"
"70136","34.481848,133.362634","福山東","道三町","プロ多/親","交通信号制御機(ﾌﾟﾛ多)","第1012号","","コイト電工株式会社","2J2412","2022年9月","市道","福山市道三町8番北西角先"
"70137","34.517228,133.38857","福山東","天神原","地域/直接","交通信号制御機(S9-TCU)","第1012号「版6」","","日本信号株式会社","K0000007","2024年9月","Ｒ１８２","福山市蔵王町2,467番地1先"
"70138","34.47716,133.402352","福山東","入江大橋南詰","地域/直接","交通信号制御機(UD-TTR)","第1012号「版5」","S4：TSC-4152","住友電工ｼｽﾃﾑｿﾘｭｰｼｮﾝ株式会社","220724","2022年12月","県道３８０号（水呑手城）","福山市新浜町2丁目2番南西角先"
"70139","34.499429,133.424543","福山東","引野町竹之内口","地域/直接","交通信号制御機(UD-TTR)","第1012号「版5」","","日本信号株式会社","K0000001","2022年12月","Ｒ２","福山市引野町東1番7号先"
"70140","34.448111,133.245044","福山西","高諸神社前","地域/直接","Ｕ形交通信号制御機(S9-TCU)","第２３１号","S0：TSC-1050","住友電気工業株式会社","HG90134","2004年12月","Ｒ２","福山市今津町7丁目7番3号先"
"70141","34.455068,133.268103","福山西","神村交流館入口","地域/直接","ＵＣ形交通信号制御機(UD-RTR)","第２３２号","8段UD対応","松下電器産業株式会社","4M2204","2005年2月","Ｒ２","福山市神村町3,612番地南西角先"
"70142","34.474325,133.397563","福山東","曙町１丁目","プロ多/親","交通信号制御機(ﾌﾟﾛ多)","第1012号","","日本信号株式会社","K0000027","2014年11月","市道","福山市曙町1丁目10番2号先"
"70143","34.473399,133.40085","福山東","曙町２丁目","地域/直接","交通信号制御機(UD-TTR)","第1012号「版6」","LTC-AR81","株式会社京三製作所","TA3595","2025年12月","県道３８０号（水呑手城）","福山市曙町2丁目7番南西角先"
"70144","34.470268,133.395928","福山東","曙町３丁目","地域/直接","ＵＣ形交通信号制御機(U)","第２３２号","","松下通信工業株式会社","2J1343","2002年9月","市道","福山市曙町3丁目19番27号先"
"70145","34.469334,133.399228","福山東","曙町４丁目","地域/直接","交通信号制御機(UD-TTR)","第1012号「版6」","LTC-AR81","株式会社京三製作所","TA3592","2025年12月","県道３８０号（水呑手城）","福山市曙町4丁目8番28号先"
"70147","34.483136,133.405743","福山東","手城大橋（西）","地域/直接","交通信号制御機(UD-TTR)","第1012号「版5」","S4：TSC-4152","住友電工ｼｽﾃﾑｿﾘｭｰｼｮﾝ株式会社","220725","2022年12月","県道２４４号（福山港）","福山市東手城町1丁目32番南東角先"
"70148","34.48322,133.354699","福山東","福山市上下水道局前","プロ多/親","交通信号制御機(ﾌﾟﾛ多)","第1012号","","コイト電工株式会社","2H2078","2022年8月","市道","福山市古野上町15番25号先"
"70149","34.471417,133.365678","福山東","沖野上町６丁目","地域/直接","ＵＣ形交通信号制御機(U)","第２３２号","","松下通信工業株式会社","2L1520","2002年11月","市道","福山市沖野上町6丁目9番26号先"
"70150","34.49218,133.399991","福山東","新福山陸橋南詰","地域/直接","交通信号制御機(S9-TCU)","第1012号「版6」","","日本信号株式会社","K0000011","2024年9月","Ｒ１８２","福山市明神町2丁目5番南東角先"
"70151","34.500197,133.398738","福山東","蔵王南","地域/直接","ＵＣ形交通信号制御機(UD-RTR)","第２３２号","","松下電器産業㈱－小糸工業㈱","4A1941","2004年1月","Ｒ１８２","福山市南蔵王町3丁目17番51号南東角先"
"70152","34.509184,133.393905","福山東","福山市民病院入口","地域/直接","交通信号制御機(UD-RTR)","第1012号「版6」","","日本信号株式会社","K0000005","2025年12月","Ｒ１８２","福山市蔵王町6丁目1番南角先"
"70153","34.476241,133.366856","福山東","福山工業高校東","地域/直接","交通信号制御機(UD-RTR)","第1012号「版6」","S4：TSC-4152","住友電工ｼｽﾃﾑｿﾘｭｰｼｮﾝ株式会社","240848","2024年12月","県道２２号（福山鞆）","福山市野上町3丁目2番10号先"
"70154","34.472527,133.368163","福山東","沖野上５丁目北","地域/直接","ＵＣ形交通信号制御機(U)","第２３２号","","松下通信工業株式会社","2L1518","2002年11月","県道２２号（福山鞆）","福山市沖野上町5丁目13番15号先"
"70155","34.471147,133.368746","福山東","沖野上５丁目","地域/直接","ＵＣ形交通信号制御機(U)","第２３２号","","松下通信工業株式会社","2L1519","2002年11月","県道２２号（福山鞆）","福山市沖野上町4丁目4番23号先"
"70156","34.476903,133.378212","福山東","沖野上町１丁目","地域/直接","交通信号制御機(UD-TTR)","第1012号「版5」","S4：TSC-4152","住友電工ｼｽﾃﾑｿﾘｭｰｼｮﾝ株式会社","220717","2022年12月","市道","福山市沖野上町1丁目8番33号先"
"70157","34.492153,133.439542","福山東","大門町３丁目（西）","地域/直接","交通信号制御機(UD-TTR)","第1012号「版6」","LTC-AR81","株式会社京三製作所","TA3609","2025年12月","市道","福山市大門町3丁目19番南東角先"
"70158","34.478555,133.425699","福山東","古家橋南詰","地域/直接","交通信号制御機(UD-TTR)","第1012号「版6」","LTC-AR81","株式会社京三製作所","TA3599","2025年12月","県道３号（井原福山港）","福山市大門町津之下1,580番地11南西角先"
"70159","34.49075,133.429699","福山東","旭ヶ丘南口","プロ多/親","交通信号制御機(ﾌﾟﾛ多)","第1012号","LTC-AR31","株式会社京三製作所","TU2282","2013年11月","市道","福山市平成台1番23号先"
"70160","34.498277,133.422649","福山東","引野町古地口","地域/直接","交通信号制御機(UD-TTR)","第1012号「版5」","","日本信号株式会社","K0000001","2022年12月","Ｒ２","福山市引野町273番地1先"
"70161","34.485629,133.355387","福山東","西桜町２丁目","地域/直接","ＵＣ形交通信号制御機(UD-RTR)","第２３２号","","松下電器産業㈱－小糸工業㈱","4A1938","2004年1月","Ｒ２","福山市西桜町2丁目1番北東角先"
"70162","34.463106,133.363547","福山西","洗谷三差路","地域/直接","Ｕ形交通信号制御機(U)","第２３１号","","松下通信工業株式会社","2L0844","2002年11月","県道２２号（福山鞆）","福山市水呑町4,823番地北東方50メートル先"
"70163","34.476597,133.315853","福山西","東部運転免許センター前","地域/直接","ＵＣ形交通信号制御機(UD-RTR)","第２３２号","","小糸工業株式会社","4M0701","2004年12月","Ｒ２","福山市瀬戸町山北54番地2先"
"70164","34.544839,133.299625","福山北","福戸橋北詰","プロ多/親","交通信号制御機(ﾌﾟﾛ多)","第1012号","","コイト電工株式会社","4H1475","2024年8月","県道３９７号（福田戸手）","福山市芦田町福田2,950番地62先"
"70165","34.545519,133.297568","福山北","戸手川橋東詰","プロ多/親","交通信号制御機(ﾌﾟﾛ多)","第1012号","","コイト電工株式会社","4H1469","2024年8月","Ｒ４８６","福山市芦田町福田2,947番地4先"
"70166","34.526098,133.37525","福山東","千田蓮池（南）","地域/直接","交通信号制御機(UD-RTR)","第1012号「版6」","","日本信号株式会社","K0000003","2026年1月","Ｒ１８２","福山市千田町千田1,741番地1先"
"70167","34.524658,133.376536","福山東","二ツ川","地域/直接","交通信号制御機(S9-TCU)","第1012号「版6」","","日本信号株式会社","K0000005","2024年9月","Ｒ１８２","福山市千田町千田1,856番地先"
"70168","34.522742,133.378913","福山東","白石","地域/直接","ＵＣ形交通信号制御機(S9-TCU)","第２３２号","Ⅹ３","松下電器産業株式会社","8C0318","2008年3月","Ｒ１８２","福山市千田町千田1,919番地先"
"70169","34.521551,133.383901","福山東","小池南","地域/直接","交通信号制御機(S9-TCU)","第1012号「版6」","","日本信号株式会社","K0000006","2024年9月","Ｒ１８２","福山市千田町千田2,193番地1先"
"70170","34.520552,133.385266","福山東","千田幹線東","地域/直接","交通信号制御機(UD-RTR)","第1012号「版6」","","日本信号株式会社","K0000001","2026年1月","Ｒ１８２","福山市千田町3丁目65番南東角先"
"70171","34.510691,133.391803","福山東","福山東インター北","地域/直接","交通信号制御機(S9-TCU)","第1012号「版6」","","日本信号株式会社","K0000008","2024年9月","Ｒ１８２","福山市蔵王町6丁目4番7号地先"
"70172","34.502435,133.39839","福山東","広尾（南）","地域/直接","交通信号制御機(S9-TCU)","第1012号「版6」","","日本信号株式会社","K0000009","2024年9月","Ｒ１８２","福山市南蔵王町5丁目8番南西角先"
"70173","34.552328,133.34138","福山北","岩成橋南詰","単独プロ多","交通信号制御機(ﾌﾟﾛ多)","第1012号","S2：TSC-2310","住友電工ｼｽﾃﾑｿﾘｭｰｼｮﾝ株式会社","130141","2013年7月","県道１８１号（下御領新市）","福山市御幸町上岩成743番地の2先"
"70174","34.518226,133.364961","福山東","千田三差路","地域/直接","Ｕ形交通信号制御機(S9-TCU)","第２３１号","Ⅹ３","松下電器産業株式会社","8B0140","2008年2月","Ｒ３１３","福山市千田町2丁目3番北西角先"
"70175","34.518641,133.365038","福山東","千田","地域/連動","灯器連動","灯器連動","Ⅹ３","松下電器産業株式会社","8B0140","2008年2月","Ｒ３１３","福山市千田町2丁目2番北角先"
"70176","34.535995,133.350621","福山北","森脇三差路","地域/直接","Ｕ形交通信号制御機(S9-TCU)","第２３１号","S0：TSC-1350","住友電気工業株式会社","HG90599","2004年12月","県道３９５号（川南近田）","福山市御幸町森脇128番地先"
